úZethQuark Versi¢n 7.0ú									6/01/2024
POL.LOS ANGELES	RE	P	ORTE	INVENTARIO	VALORIZADO	X LINEA MOSTRADOR			18:49:42
BRUCELLA IGG	1000			110	80	110,000.00	80,000.00	30,000.00	
BRUCELLA IGM	1000			110	80	110,000.00	80,000.00	30,000.00	
BRUCELLA ROSA DE BENGALA	992			20	6.4	19,840.00	6,348.80	13,491.20	
BTA EN ORINA	1000			250	200	250,000.00	200,000.00	50,000.00	
C1 ESTERASA INHIBIDOR	1000			130	100	130,000.00	100,000.00	30,000.00	
CA 125(CANCER DE OVARIO)	998			90	45	89,820.00	44,910.00	44,910.00	
CA-27.29	1000			100	50	100,000.00	50,000.00	50,000.00	
CA-549	999			220	135	219,780.00	134,865.00	84,915.00	
CA15-3(CANCER DE MAMA)	999			70	50	69,930.00	49,950.00	19,980.00	
CA19-9(CANCER DE ESTOMAGO)	967			60	25	58,020.00	24,175.00	33,845.00	
CA72-4(CANCER DE PANCREAS)	996			120	90	119,520.00	89,640.00	29,880.00	
CADENAS LIGERAS LIBRES EN SUERO	1000			800	750	800,000.00	750,000.00	50,000.00	
CADMIO EN SANGRE	1000			190	110	190,000.00	110,000.00	80,000.00	
CALCIO IONICO	988			80	45	79,040.00	44,460.00	34,580.00	
CALCIO ORINA 24HRS	998			25	16	24,950.00	15,968.00	8,982.00	
CALCIO ORINA SIMPLE	997			18	8	17,946.00	7,976.00	9,970.00	
CALCIO SERICO	989			20	6	19,780.00	5,934.00	13,846.00	
CALCITONINA	994			110	80	109,340.00	79,520.00	29,820.00	
CALCITONINA,DOSAJE	999			95	75	94,905.00	74,925.00	19,980.00	
CALCULO BILIAR	1000			60	40	60,000.00	40,000.00	20,000.00	
CALCULO URINARIO	1000			60	30	60,000.00	30,000.00	30,000.00	
CAMPYLOBACTER EX.DIRECTO-GRAM	998			30	15	29,940.00	14,970.00	14,970.00	
CAMPYLOBACTER JEJUNI ANTICUERPOS	1000			200	120	200,000.00	120,000.00	80,000.00	
CANDIDA SP/ANTIFUNGICOS	1000			130	100	130,000.00	100,000.00	30,000.00	
CANDIDA,IDENTIFICACION	1000			130	100	130,000.00	100,000.00	30,000.00	
CAPTURA HIBRIDOS-PVH	1000			590	510	590,000.00	510,000.00	80,000.00	
CARBOXIHEMOGLOBINA	1000			110	85	110,000.00	85,000.00	25,000.00	
CARNET DE SANIDAD	997			70	35	69,790.00	34,895.00	34,895.00	
CARNITINA SERICA,DOSAJE	1000			170	110	170,000.00	110,000.00	60,000.00	
CAROTENOS	1000			40	25	40,000.00	25,000.00	15,000.00	
CATECOLAMINAS LIBRES ORINA24HRS	1000			70	35	70,000.00	35,000.00	35,000.00	
CATECOLAMINAS PLASMATICA FRACCIONADA	1000			400		400,000.00		400,000.00	
CEA(ANTIGENO CARCINOEMBRIONARIO)	993			60	25	59,580.00	24,825.00	34,755.00	
CEA(CANCER DE PULMON Y COLON)	986			65	35	64,090.00	34,510.00	29,580.00	
CELULAS DEL ISLOTE,AUTOANTICUERPOS	1000			150	110	150,000.00	110,000.00	40,000.00	
CELULAS PARIETALES,AUTOANTICUERPOS	1000			150	110	150,000.00	110,000.00	40,000.00	
CENTROMERO,AUTOANTICUERPOS	1000			150	110	150,000.00	110,000.00	40,000.00	
CERULOPLASMINA	1000			80	40	80,000.00	40,000.00	40,000.00	
CHAGAS-TRIPANOSOMA-CRUZI IGG	1000			100	50	100,000.00	50,000.00	50,000.00	
CHLAMYDIA PNEUMONIAE IGG	999			125	90	124,875.00	89,910.00	34,965.00	
CHLAMYDIA PNEUMONIAE IGM	999			125	95	124,875.00	94,905.00	29,970.00	
CHLAMYDIA PSITACI,IGM ANTICUERPOS	1000			110	80	110,000.00	80,000.00	30,000.00	
CHLAMYDIA TRACHOMATIS IGG	997			60	25	59,820.00	24,925.00	34,895.00	
CHLAMYDIA TRACHOMATIS IGM	995			60	25	59,700.00	24,875.00	34,825.00	
CHLAMYDIA TRACHOMATIS PCR	1000			550	500	550,000.00	500,000.00	50,000.00	
CICLOSPORINA	1000			170	100	170,000.00	100,000.00	70,000.00	
CIFRA 21-1(CK19)	1000			100	50	100,000.00	50,000.00	50,000.00	
CISTICERCUS EIA	1000			80	50	80,000.00	50,000.00	30,000.00	
CISTICERCUS LCR WESTERN BLOT	1000			230	170	230,000.00	170,000.00	60,000.00	
CISTICERCUS WESTERN BLOT	999			230	177	229,770.00	176,823.00	52,947.00	
CISTINA ORINA 24HRS	1000			95	60	95,000.00	60,000.00	35,000.00	
CITOMEGALOVIRUS IGG	1000			60	30	60,000.00	30,000.00	30,000.00	
CITOMEGALOVIRUS IGM	1000			60	30	60,000.00	30,000.00	30,000.00	
CITOMEGALOVIRUS,ANTIGENO PP65	1000			190	100	190,000.00	100,000.00	90,000.00	
CITOQUIMICO LCR	999			110	90	109,890.00	89,910.00	19,980.00	
CITOQUIMICO OTROS LIQUIDOS	1000			60	30	60,000.00	30,000.00	30,000.00	
CITRATO ORINA 24HRS	998			200	110	199,600.00	109,780.00	89,820.00	
CLONAZEPAM(RIVOTRIL)	1000			230	150	230,000.00	150,000.00	80,000.00	
CLORO	998			70	45	69,860.00	44,910.00	24,950.00	
CLORO ORINA 24HRS	1000			20	10	20,000.00	10,000.00	10,000.00	
CLORO ORINA SIMPLE	1000			20	9	20,000.00	9,000.00	11,000.00	
CLOSTRIDIUM DIFFICILE TOXINA A/B	1000			90	50	90,000.00	50,000.00	40,000.00	
COAGLUINACION	1000			150	110	150,000.00	110,000.00	40,000.00	
COAGLUTINACION	1000			150	110	150,000.00	110,000.00	40,000.00	
COAGULACION Y SANGRIA	988			20	10	19,760.00	9,880.00	9,880.00	
COBRE EN ORINA SIMPLE	1000			130	100	130,000.00	100,000.00	30,000.00	
COBRE SERICO	999			110	90	109,890.00	89,910.00	19,980.00	
COCAINA(BENZOYLECGONINA)	998			50	20	49,900.00	19,960.00	29,940.00	
COCCIDIOMICOSIS,ANTICUERPOS	1000			120	90	120,000.00	90,000.00	30,000.00	
COLESTEROL	927			15	8	13,905.00	7,416.00	6,489.00	
COLINESTERASA PLASMATICA	1000			95	50	95,000.00	50,000.00	45,000.00	
COMPLEMENTO C'3	1000			60	30	60,000.00	30,000.00	30,000.00	
COMPLEMENTO C'4	1000			60	30	60,000.00	30,000.00	30,000.00	
COMPLEMENTO C'5	1000			240	180	240,000.00	180,000.00	60,000.00	
COMPLEMENTO C1Q	1000			95	50	95,000.00	50,000.00	45,000.00	
COMPLEMENTO CH50	1000			60	30	60,000.00	30,000.00	30,000.00	
CONSTANCIA MEDICA	963			15	10	14,445.00	9,630.00	4,815.00	
CONSTANTES CORPUSCULARES	998			40	20	39,920.00	19,960.00	19,960.00	
CONTROL MICROBIOLOGICO DE AMBIENTES	1000			240	110	240,000.00	110,000.00	130,000.00	
CONTROL MICROBIOLOGICO DE SUPERFICIES	1000			200	100	200,000.00	100,000.00	100,000.00	
COOMBS DIRECTO	1000			30	15	30,000.00	15,000.00	15,000.00	
COOMBS INDIRECTO	1000			40	12	40,000.00	12,000.00	28,000.00	
COPROCULTIVO	965			60	36	57,900.00	34,740.00	23,160.00	
COPROCULTIVO CAMPYLOBACTER	999			60	30	59,940.00	29,970.00	29,970.00	
COPROLOGICO FUNCIONAL	763			25	15	19,075.00	11,445.00	7,630.00	
COPROPORFIRINA ORINA 24HRS	1000			60	20	60,000.00	20,000.00	40,000.00	
CORTISOL	996			50	16	49,800.00	15,936.00	33,864.00	
CORTISOL LIBRE ORINA 24HRS	1000			70	45	70,000.00	45,000.00	25,000.00	
CORTISOL POST MEDICAMENTO	1000			90	45	90,000.00	45,000.00	45,000.00	
CORTISOL(A.M)	945			45	18	42,525.00	17,010.00	25,515.00	
CORTISOL(P.M)	965			45	18	43,425.00	17,370.00	26,055.00	
COXSAKIEVIRUS B(1-6),ANTICUERPOS	1000			150	100	150,000.00	100,000.00	50,000.00	
CPK	999			40	15	39,960.00	14,985.00	24,975.00	
CPK-MB	985			60	20	59,100.00	19,700.00	39,400.00	
CREATINA	873			70	41	61,110.00	35,793.00	25,317.00	
CREATINA ORINA 24HRS	1000			30	15	30,000.00	15,000.00	15,000.00	
CREATININA	521			15	8	7,815.00	4,168.00	3,647.00	
CREATININA ORINA 24HRS	1000			30	15	30,000.00	15,000.00	15,000.00	
CREATININA ORINA SIMPLE	1000			50	25	50,000.00	25,000.00	25,000.00	
CRIOAGLUTININAS	1000			30	15	30,000.00	15,000.00	15,000.00	
CRIOGLOBULINAS	1000			40	15	40,000.00	15,000.00	25,000.00	
CRIPTOSPORIDIUM	1000			65	30	65,000.00	30,000.00	35,000.00	
CROMO ORINA 24HRS	1000			160	110	160,000.00	110,000.00	50,000.00	
CROMO SERICO	1000			150	110	150,000.00	110,000.00	40,000.00	
CROMOGRANINA-A	1000			450	400	450,000.00	400,000.00	50,000.00	
CRYPTOCOCCUS LCR,ANTICUERPOS	1000			150	100	150,000.00	100,000.00	50,000.00	
CRYPTOCOCCUS LCR,ANTIGENO	1000			150	100	150,000.00	100,000.00	50,000.00	
CRYPTOCOCCUS SUERO,ANTICUERPOS	1000			140	100	140,000.00	100,000.00	40,000.00	
CRYPTOCOCCUS SUERO,ANTIGENO	1000			140	100	140,000.00	100,000.00	40,000.00	
CTX(B CTX)	1000			150	100	150,000.00	100,000.00	50,000.00	
CULTIVO DE HONGOS	995			50	25.5	49,750.00	25,372.50	24,377.50	
CULTIVO DE SEC.VAGINAL	973			50	22	48,650.00	21,406.00	27,244.00	
CULTIVO DE SECRECION FARINGEA	935			50	22	46,750.00	20,570.00	26,180.00	
CURACION	842			10	8	8,420.00	6,736.00	1,684.00	
CURACION SIMPLE-TRAUMATOLOGIA	996			15	8	14,940.00	7,968.00	6,972.00	
CURACION SIN MATERIAL	993			4	2	3,972.00	1,986.00	1,986.00	
D-XILOSA,EXCRECION DE	1000			45	30	45,000.00	30,000.00	15,000.00	
DEMODEX FOLLICULORUM,EX.DIRECTO	1000			30	15	30,000.00	15,000.00	15,000.00	
DENGUE IGG ANTICUERPOS	999			60	23	59,940.00	22,977.00	36,963.00	
DENGUE IGM ANTICUERPOS	999			60	23	59,940.00	22,977.00	36,963.00	
DENGUE,IGG/IGM ANTICUERPOS	1000			80	40	80,000.00	40,000.00	40,000.00	
DEPURACION CREATININA	994			30	15	29,820.00	14,910.00	14,910.00	
DESHIDROGENASA LACTICA(DHL)	997			40	15	39,880.00	14,955.00	24,925.00	
DESHIDROGENASA LACTICA1(DHL-1)	1000			60	30	60,000.00	30,000.00	30,000.00	
DESPISTAJE ALERGICO(41 SUSTANCIAS)	1000			200	110	200,000.00	110,000.00	90,000.00	
DHEA(DEHIDROEPIANDROSTERONA)	1000			65	32	65,000.00	32,000.00	33,000.00	
DHEA-S	1000			60	30	60,000.00	30,000.00	30,000.00	
DIAZEPAM,DOSAJE	1000			250	200	250,000.00	200,000.00	50,000.00	
DIFENILHIDANTOINE LIBRE	1000			100	50	100,000.00	50,000.00	50,000.00	
DIGOXINA	1000			60	30	60,000.00	30,000.00	30,000.00	
DIHIDROTESTOSTERONA	1000			100	50	100,000.00	50,000.00	50,000.00	
DIMERO D	834			100	50	83,400.00	41,700.00	41,700.00	
DOSAJE DE VALPROATO	999			70	40	69,930.00	39,960.00	29,970.00	
DROGAS PANEL 10D	1000			210	120	210,000.00	120,000.00	90,000.00	
DROGAS PANEL 3D(COCA+MARI+EXT)	1000			120	90	120,000.00	90,000.00	30,000.00	
DROGAS PANEL 5D	1000			150		150,000.00		150,000.00	
ECHOVIRUS,ANTICUERPOS(4,9,11,30)	1000			300	200	300,000.00	200,000.00	100,000.00	
ELECTROFORESIS HEMOGLOBINA	1000			90	35	90,000.00	35,000.00	55,000.00	
ELECTROLITOS	978			50	25	48,900.00	24,450.00	24,450.00	
ELECTROLITOS ORINA 24HRS	1000			50	25	50,000.00	25,000.00	25,000.00	
ELECTROLITOS ORINA SIMPLE	1000			50	25	50,000.00	25,000.00	25,000.00	
ELECTROLITOS SUERO	999			50	25	49,950.00	24,975.00	24,975.00	
ENA PERFIL EXTENDIDO(LINEBLOT)	1000			350	300	350,000.00	300,000.00	50,000.00	
ENDOMISIO,AUTOANTICUERPOS	1000			210	190	210,000.00	190,000.00	20,000.00	
ENDOVENOSO PACIENTE CLINICA DOMICILIO	688			20	10	13,760.00	6,880.00	6,880.00	
EOSINOFILOS,RECUENTO DE	1000			40	15	40,000.00	15,000.00	25,000.00	
EOSINOFILOS,RECUENTO EN ORINA	1000			40	20	40,000.00	20,000.00	20,000.00	
EPSTEIN BARR(EARLY)ANTIGENO TEMPRANO	1000			120	90	120,000.00	90,000.00	30,000.00	
EPSTEIN BARR(EBNA)IGG	999			60	25	59,940.00	24,975.00	34,965.00	
EPSTEIN BARR(EBNA)IGM	998			60	25	59,880.00	24,950.00	34,930.00	
EPSTEIN BARR(VCA)IGG	1000			55	25	55,000.00	25,000.00	30,000.00	
EPSTEIN BARR(VCA)IGM	1000			55	25	55,000.00	25,000.00	30,000.00	
ERITROPOYETINA	998			100	40	99,800.00	39,920.00	59,880.00	
ESPERMATOGRAMA	999			80	35	79,920.00	34,965.00	44,955.00	
ESTRADIOL	998			50	20	49,900.00	19,960.00	29,940.00	
ESTRADIOL LIBRE	1000			170	138	170,000.00	138,000.00	32,000.00	
ESTRADIOL(ESTROGENO)	1000			40	20	40,000.00	20,000.00	20,000.00	
ESTREPTOCOCO BETA HEMOLITICO	1000			75	50	75,000.00	50,000.00	25,000.00	
ESTRIOL LIBRE	999			70	45	69,930.00	44,955.00	24,975.00	
ETANOL EN SALIVA	1000			70	50	70,000.00	50,000.00	20,000.00	
ETANOL EN SANGRE(ALCOHOL ETILICO)	1000			100	60	100,000.00	60,000.00	40,000.00	
EXTASIS	1000			75	45	75,000.00	45,000.00	30,000.00	
FACTOR II	1000			830	790	830,000.00	790,000.00	40,000.00	
FACTOR INTRINSECO,AUTOANTICUERPO	1000			160	110	160,000.00	110,000.00	50,000.00	
FACTOR IX	1000			160	110	160,000.00	110,000.00	50,000.00	
FACTOR REUMATOIDE CUANTITATIVO	954			30	15	28,620.00	14,310.00	14,310.00	
FACTOR V	1000			160	110	160,000.00	110,000.00	50,000.00	
FACTOR V(LEIDEN MUTANTE)PCR	1000			1250	1000	1,250,000.00	1,000,000.00	250,000.00	
FACTOR VII	1000			140	100	140,000.00	100,000.00	40,000.00	
FACTOR VIII	1000			170	110	170,000.00	110,000.00	60,000.00	
FACTOR VIII,INHIBIDORES CIRCULANTES	1000			550	500	550,000.00	500,000.00	50,000.00	
FACTOR VON-WILLEBRAND ANTIGENO	1000			350	300	350,000.00	300,000.00	50,000.00	
FACTOR X	1000			170	110	170,000.00	110,000.00	60,000.00	
FACTOR XI	1000			180	120	180,000.00	120,000.00	60,000.00	
FACTOR XII	1000			180	120	180,000.00	120,000.00	60,000.00	
FACTOR XIII	1000			300	250	300,000.00	250,000.00	50,000.00	
FASCIOLA ANTICUERPOS TOTALES	1000			200	130	200,000.00	130,000.00	70,000.00	
FASCIOLA WESTERN BLOT	1000			140	100	140,000.00	100,000.00	40,000.00	
FENILALANINA CUANTITATIVA	1000			80	40	80,000.00	40,000.00	40,000.00	
FENILCETONURIA PKU	1000			80	40	80,000.00	40,000.00	40,000.00	
FENITOINA(DIFENILHIDANTONINA DPH)	1000			60	30	60,000.00	30,000.00	30,000.00	
FENOBARBITAL(PB)	1000			60	30	60,000.00	30,000.00	30,000.00	
FENOMENO LE	1000			50	25	50,000.00	25,000.00	25,000.00	
FERRITINA	989			60	30	59,340.00	29,670.00	29,670.00	
FERRITINA SERICA	997			50	30	49,850.00	29,910.00	19,940.00	
FIBRINOGENO	998			60	30	59,880.00	29,940.00	29,940.00	
FOSF ALCA ISOENZIMAS	1000			80	40	80,000.00	40,000.00	40,000.00	
FOSF ALCA LEUCOCITARIA-FAL	1000			100	50	100,000.00	50,000.00	50,000.00	
FOSFATASA AC POSTATICA	1000			30	15	30,000.00	15,000.00	15,000.00	
FOSFATASA AC TOTAL	1000			30	15	30,000.00	15,000.00	15,000.00	
FOSFATASA ALCALINA	989			40	15	39,560.00	14,835.00	24,725.00	
FOSFATOS EN ORINA 24HRS	1000			40	20	40,000.00	20,000.00	20,000.00	
FOSFORO	997			25	6	24,925.00	5,982.00	18,943.00	
FOSFORO ORINA 24HRS	1000			25	13	25,000.00	13,000.00	12,000.00	
FOSPOLIPIDOS SERICOS	1000			60	30	60,000.00	30,000.00	30,000.00	
FRAGILIDAD OSMOTICA/GLOBULAR	1000			60	30	60,000.00	30,000.00	30,000.00	
FROTIS DIRECTO(KOH-HONGOS)	744			25	15	18,600.00	11,160.00	7,440.00	
FRUCTOSAMINA	1000			80	40	80,000.00	40,000.00	40,000.00	
FSH	989			45	19	44,505.00	18,791.00	25,714.00	
FTA ABS IGM	998			200	110	199,600.00	109,780.00	89,820.00	
FTA-ABS	998			60	30	59,880.00	29,940.00	29,940.00	
FTA-ABS EN L.C.R	1000			70	30	70,000.00	30,000.00	40,000.00	
G.G.T.P	861			40	25	34,440.00	21,525.00	12,915.00	
GAD AUTOANTICUERPOS	1000			330	290	330,000.00	290,000.00	40,000.00	
GALACTOMANANO	1000			390	310	390,000.00	310,000.00	80,000.00	
GAMMA GLUTAMIL TRANSPEPTIDASA	962			40	20	38,480.00	19,240.00	19,240.00	
GAMMAGLOBULINA	1000			40	20	40,000.00	20,000.00	20,000.00	
GASTRINA	1000			80	40	80,000.00	40,000.00	40,000.00	
GLIADINA,ANTICUERPOS IGA	1000			170	110	170,000.00	110,000.00	60,000.00	
GLUCAGON	1000			100	50	100,000.00	50,000.00	50,000.00	
GLUCAGON 60'	1000			90	45	90,000.00	45,000.00	45,000.00	
GLUCOSA	8739			13	6	113,607.00	52,434.00	61,173.00	
GLUCOSA 6 FOSF DESHIDRO-G6PDH	1000			100	50	100,000.00	50,000.00	50,000.00	
GLUCOSA POST PRANDIAL	994			15	7	14,910.00	6,958.00	7,952.00	
GOTA GRUESA	1000			30	15	30,000.00	15,000.00	15,000.00	
GRAHAM ACAROS	823			25	15	20,575.00	12,345.00	8,230.00	
GRASAS EN HECES(CUALITATIVO)	1000			24	12	24,000.00	12,000.00	12,000.00	
GRUPO SANGUINEO/FACTOR RH	939			20	12	18,780.00	11,268.00	7,512.00	
GUARDIA LAMBLIA,ANTICUERPOS	1000			240	200	240,000.00	200,000.00	40,000.00	
HAM,TEST DE(HPN)	1000			55	30	55,000.00	30,000.00	25,000.00	
HANTAVIRUS ANTICUERPOS IGG-IGM	1000			390	300	390,000.00	300,000.00	90,000.00	
HAPTOGLOBINA	1000			70	40	70,000.00	40,000.00	30,000.00	
HCG CADENAS LIBRES BETA	1000			200	100	200,000.00	100,000.00	100,000.00	
HCG PRUEBA DE EMBARAZO	15			15	7	225	105	120	
HCG SUB UNIDAD BETA CUANTITATIVO	925			45	30	41,625.00	27,750.00	13,875.00	
HDL COLESTEROL	998			20	10	19,960.00	9,980.00	9,980.00	
HDL(DEHIDROGENASA LACTICA)	1000			50	30	50,000.00	30,000.00	20,000.00	
HELICOBACTER IGG	932			60	28	55,920.00	26,096.00	29,824.00	
HELICOBACTER IGM	385			55	28	21,175.00	10,780.00	10,395.00	
HEMOCULTIVO	997			120	91	119,640.00	90,727.00	28,913.00	
HEMOG. GLICOSILADA	382			55	22	21,010.00	8,404.00	12,606.00	
HEMOGLOBINA A2,CUANTITATIVA	1000			150	110	150,000.00	110,000.00	40,000.00	
HEMOGLOBINA DESCUENTO VASO DE LECHE	987			5	2	4,935.00	1,974.00	2,961.00	
HEMOGLOBINA F,CUANTITATIVA	1000			140	110	140,000.00	110,000.00	30,000.00	
HEMOGLOBINA HEMATOCRITO	774			10	5	7,740.00	3,870.00	3,870.00	
HEMOGRAMA COMPLETO	775			25	15	19,375.00	11,625.00	7,750.00	
HEMOSIDERINA ORINA SIMPLE	1000			45	23	45,000.00	23,000.00	22,000.00	
HEPATITIS A ANTICUERPOS TOTALES	996			70	43	69,720.00	42,828.00	26,892.00	
HEPATITIS A IGM	992			80	40	79,360.00	39,680.00	39,680.00	
HEPATITIS A,HAV IgM	992			80	40	79,360.00	39,680.00	39,680.00	
HEPATITIS B ANTIGENO AUSTRALIANO	982			60	30	58,920.00	29,460.00	29,460.00	
HEPATITIS B CARGA VIRAL	1000			530	500	530,000.00	500,000.00	30,000.00	
HEPATITIS B CORE ANTICUERPOS TOTALES	998			65	32	64,870.00	31,936.00	32,934.00	
HEPATITIS B CORE IGM	997			65	30	64,805.00	29,910.00	34,895.00	
HEPATITIS B DNA-POLIMERASA	1000			190	110	190,000.00	110,000.00	80,000.00	
HEPATITIS BE ANTICUERPOS	1000			80	40	80,000.00	40,000.00	40,000.00	
HEPATITIS BE ANTIGENO	998			60	30	59,880.00	29,940.00	29,940.00	
HEPATITIS BS ANTIC.CUANT	1000			75	35	75,000.00	35,000.00	40,000.00	
HEPATITIS C CARGA VIRAL	1000			580	500	580,000.00	500,000.00	80,000.00	
HEPATITIS C GENOTIPIFICACION	1000			1450	1400	1,450,000.00	1,400,000.00	50,000.00	
HEPATITIS C HCV 3RA GENERACION	992			90	48	89,280.00	47,616.00	41,664.00	
HEPATITIS C PCR	1000			590	500	590,000.00	500,000.00	90,000.00	
HEPATITIS C-RIBA	1000			350	300	350,000.00	300,000.00	50,000.00	
HEPATITIS D ANTICUERPOS IGG	1000			120	100	120,000.00	100,000.00	20,000.00	
HEPATITIS D ANTICUERPOS IGM	1000			190	110	190,000.00	110,000.00	80,000.00	
HEPATITIS E ANTICUERPOS IGG	1000			160	110	160,000.00	110,000.00	50,000.00	
HEPATITIS E ANTICUERPOS IGM	1000			160	110	160,000.00	110,000.00	50,000.00	
HEPATITISB,ANTI HB Ag(AUST)	1000			60	30	60,000.00	30,000.00	30,000.00	
HIBRIDIZACION IN SITU(PBA.MOLECULAR)	1000			450	410	450,000.00	410,000.00	40,000.00	
HIDATIDOSIS ELISA	998			150		149,700.00		149,700.00	
HIDATIDOSIS WESTERN BLOT	1000			125		125,000.00		125,000.00	
HIDATIDOSIS(ARCO V)	1000			85		85,000.00		85,000.00	
HIDROXIPROLINA ORINA 24HRS	1000			65	33	65,000.00	33,000.00	32,000.00	
HIERRO SERICO	996			30	8	29,880.00	7,968.00	21,912.00	
HIERRO SERICO Y TRANS	1000			70	50	70,000.00	50,000.00	20,000.00	
HISTONA ANTICUERPOS	1000			80	40	80,000.00	40,000.00	40,000.00	
HISTOPLASMA ANTICUERPOS TOTALES	1000			80	40	80,000.00	40,000.00	40,000.00	
HISTOPLASMA ANTIGENO EN ORINA	1000			420	400	420,000.00	400,000.00	20,000.00	
HIV	766			30	15	22,980.00	11,490.00	11,490.00	
HIV ANTIGENO ANTICUERPO	993			70	30	69,510.00	29,790.00	39,720.00	
HIV CARGA VIRAL PCR	1000			700	620	700,000.00	620,000.00	80,000.00	
HIV-P24	1000			200	110	200,000.00	110,000.00	90,000.00	
HIV-WB	1000			230	200	230,000.00	200,000.00	30,000.00	
HLA-B27	1000			350	310	350,000.00	310,000.00	40,000.00	
HOMOCISTEINA SERICA	1000			200	100	200,000.00	100,000.00	100,000.00	
HONGOS EXAMEN DIRECTO	999			30	15	29,970.00	14,985.00	14,985.00	
HORM.CRECI.POSTESTIMULACION	1000			60	30	60,000.00	30,000.00	30,000.00	
HORMONA ANTI MULLERIANA(AMH/MIS)	1000			340	165	340,000.00	165,000.00	175,000.00	
HORMONA ANTIDIURETICA(ADH-VASOPRESINA)	1000			220	190	220,000.00	190,000.00	30,000.00	
HORMONA DE CRECIMIENTO	996			60	37	59,760.00	36,852.00	22,908.00	
HORMONAL FEMENINO(FSH-LH ESTRADIOL)	990			200	190	198,000.00	188,100.00	9,900.00	
HTLV-1(W.B.)	1000			200	120	200,000.00	120,000.00	80,000.00	
HTLV-I/II(EIA)	1000			85	45	85,000.00	45,000.00	40,000.00	
HU ANTICUERPOS	1000			250	200	250,000.00	200,000.00	50,000.00	
ICOV IGA   CUANTITATIVA	999			140	112.1	139,860.00	111,987.90	27,872.10	
IDENTIFICACION DE BACTERIA	1000			75	39	75,000.00	39,000.00	36,000.00	
IDENTIFICACION DE PARASITO	1000			40	29	40,000.00	29,000.00	11,000.00	
IFI VIRAL EN HISOPADO NASAL-FARINGEO	1000			290	210	290,000.00	210,000.00	80,000.00	
IMNUGLOBULINA(G-M-A)	1000			130	100	130,000.00	100,000.00	30,000.00	
INDICE DE SATURACION DE TRANSFERRINA	999			40	20	39,960.00	19,980.00	19,980.00	
INFILTRACION-TRAUMATOLOGIA	1000			40	20	40,000.00	20,000.00	20,000.00	
INFILTRACI[ON CICATRIZ	999			30	15	29,970.00	14,985.00	14,985.00	
INFLUENZA TIPO B,ANTICUERPOS	1000			180	110	180,000.00	110,000.00	70,000.00	
INFLUENZA TIPOA,ANTICUERPOS	1000			220	120	220,000.00	120,000.00	100,000.00	
INFLUENZA TIPOA/B HISOPADO	1000			320	300	320,000.00	300,000.00	20,000.00	
INHIBINA A	1000			150	100	150,000.00	100,000.00	50,000.00	
INHIBINA B	1000			250	200	250,000.00	200,000.00	50,000.00	
INMUNOFIJACION EN ORINA	1000			190	110	190,000.00	110,000.00	80,000.00	
INMUNOFIJACION EN SUERO	1000			170	110	170,000.00	110,000.00	60,000.00	
INMUNOGLOBULINA A	998			50	30	49,900.00	29,940.00	19,960.00	
INMUNOGLOBULINA E	940			60	18	56,400.00	16,920.00	39,480.00	
INMUNOGLOBULINA G	999			60	30	59,940.00	29,970.00	29,970.00	
INMUNOGLOBULINA G-SUBCLASES	1000			200	110	200,000.00	110,000.00	90,000.00	
INMUNOGLOBULINA M	999			50	30	49,950.00	29,970.00	19,980.00	
INMUNOGLOBULINAS(G-M-A)	1000			130	100	130,000.00	100,000.00	30,000.00	
INMUNOHISTOQUIMICOS,MARCADORES	1000			330	290	330,000.00	290,000.00	40,000.00	
INSULINA	830			50	25	41,500.00	20,750.00	20,750.00	
INSULINA 120 MINUTOS	1000			60	30	60,000.00	30,000.00	30,000.00	
INSULINA 180 MINUTOS	1000			60		60,000.00		60,000.00	
INSULINA 30 MINUTOS	996			60	30	59,760.00	29,880.00	29,880.00	
INSULINA 60 MINUTOS	999			60	30	59,940.00	29,970.00	29,970.00	
INSULINA 90 MINUTOS	1000			60	30	60,000.00	30,000.00	30,000.00	
INSULINA B,30,60,90,120	1000			150	100	150,000.00	100,000.00	50,000.00	
INSULINA B,30,60,90,120,180	1000			160	110	160,000.00	110,000.00	50,000.00	
INSULINA POST-PRANDIAL	999			60	30	59,940.00	29,970.00	29,970.00	
LACTOSA 120 MINUTOS	1000			20	10	20,000.00	10,000.00	10,000.00	
LACTOSA BASAL	1000			20	6	20,000.00	6,000.00	14,000.00	
LACTOSA TOLERANCIA	1000			75	40	75,000.00	40,000.00	35,000.00	
LAMINA PERIFERICA	985			15	8	14,775.00	7,880.00	6,895.00	
LAMINA PERIFERICA EST. MEDICO HEMATOLOGO	1000			60	30	60,000.00	30,000.00	30,000.00	
LASA(LIPID.ASSCO.SIALIC.ACID.)	1000			130	100	130,000.00	100,000.00	30,000.00	
LDL COLESTEROL	998			20	10	19,960.00	9,980.00	9,980.00	
LEGIONELLA PNEUMOPHILA,ANTICUERPOS	1000			320	290	320,000.00	290,000.00	30,000.00	
LEISHMANIA,IGM Y IGG	999			220	137	219,780.00	136,863.00	82,917.00	
LEPTINA,DOSAJE	1000			110	90	110,000.00	90,000.00	20,000.00	
LEPTOSPIRA IGG	1000			150	100	150,000.00	100,000.00	50,000.00	
LEPTOSPIRA IGM	1000			150	100	150,000.00	100,000.00	50,000.00	
LEUCOCITOS,RECUENTO DE	1000			50	30	50,000.00	30,000.00	20,000.00	
